Mode: 18 #Games: 1000 Notes: u1-2Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
26	15	34	45	2	3	15	10	3	2	3	2	2	0	1	1	0	1	1	2	1	4	4	4	4	0	1	0	0	69
11	30	18	61	4	3	11	12	2	1	5	2	0	0	1	3	0	2	0	2	1	4	4	3	4	0	0	1	0	53
29	14	43	34	16	0	11	3	3	1	3	3	0	0	3	1	2	0	1	1	1	4	4	4	4	0	0	1	0	102
43	18	15	44	13	7	0	10	4	2	2	2	3	0	0	1	0	0	1	3	1	4	4	4	4	0	0	0	1	81
39	40	14	27	15	2	3	10	2	2	3	3	1	2	0	1	2	1	0	1	1	4	4	4	4	1	0	0	0	40
39	24	33	24	21	3	0	6	3	2	1	4	1	1	1	1	2	0	2	0	1	4	4	4	4	0	0	0	1	58
49	42	10	19	13	0	4	13	4	1	3	2	2	2	0	0	2	1	0	1	1	4	4	4	4	0	1	0	0	78
34	21	32	33	2	0	0	28	2	0	3	5	2	0	1	1	1	1	1	1	0	4	3	3	2	0	0	1	0	50
40	35	18	27	11	17	0	2	2	3	2	3	1	1	1	1	2	1	0	1	1	3	4	4	4	0	0	1	0	64
42	20	30	28	13	6	11	0	2	3	4	1	1	0	2	1	2	1	0	1	1	4	4	3	4	1	0	0	0	71
17	51	27	25	10	15	3	2	4	2	2	2	0	2	1	1	1	1	1	1	0	3	4	4	4	0	0	0	1	80
37	24	38	21	0	2	28	0	2	1	6	1	1	1	1	1	2	0	1	1	1	4	4	4	4	0	0	0	1	74
26	40	32	22	0	14	16	0	0	4	4	2	0	0	2	2	1	3	0	0	1	3	4	3	4	1	0	0	0	78
19	33	44	24	3	13	0	14	2	3	0	5	0	2	2	0	0	0	2	2	0	4	4	3	4	0	1	0	0	55
24	48	18	30	0	11	16	3	1	2	5	2	0	2	0	2	1	2	1	0	0	4	4	4	4	0	0	1	0	57
25	26	31	38	4	13	11	2	2	3	3	2	1	0	1	2	0	1	2	1	1	4	4	3	4	0	1	0	0	80
39	20	17	44	12	11	4	3	2	2	2	4	2	1	0	1	1	0	0	3	0	4	4	4	4	1	0	0	0	79
22	31	26	41	14	3	0	13	4	1	1	4	0	1	1	2	1	1	1	1	0	4	4	4	4	1	0	0	0	30
23	37	27	33	2	17	11	0	2	4	3	1	1	0	1	2	0	3	1	0	1	4	4	4	4	0	1	0	0	63
30	11	31	48	14	3	0	13	3	3	1	3	0	0	1	3	2	0	1	1	0	3	3	4	4	0	0	1	0	60
41	43	20	16	10	18	0	2	1	3	4	2	1	2	1	0	2	1	0	1	0	4	4	4	4	0	0	0	1	61
38	46	20	16	15	11	0	4	3	2	2	3	1	2	1	0	2	2	0	0	0	4	4	4	4	0	1	0	0	86
27	28	53	12	0	17	10	3	1	4	2	3	0	2	2	0	2	0	2	0	0	4	4	4	4	0	0	1	0	81
54	30	28	8	21	0	4	5	2	3	3	2	1	1	2	0	3	1	0	0	1	4	4	4	4	0	0	0	1	106
25	31	34	30	0	11	16	3	2	3	3	2	2	1	1	0	0	1	1	2	0	4	4	4	4	0	0	1	0	73
14	37	42	27	0	3	6	21	1	3	3	3	0	2	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	66
33	31	16	40	13	3	0	14	2	1	5	2	2	1	0	1	0	1	1	2	1	4	4	3	4	0	0	0	1	82
35	33	15	37	0	14	2	14	1	3	3	3	0	1	1	2	2	1	0	1	0	4	4	4	4	0	0	0	1	46
28	31	28	33	12	4	0	14	4	1	1	4	0	0	2	2	2	2	0	0	0	3	4	4	4	1	0	0	0	46
29	17	57	17	10	3	11	6	2	3	2	3	0	1	3	0	2	0	2	0	1	4	3	4	4	0	1	0	0	71
16	35	36	33	4	5	21	0	2	3	3	2	0	2	1	1	0	0	2	2	1	4	3	4	4	1	0	0	0	48
39	50	15	16	20	0	0	10	4	1	3	2	2	2	0	0	0	2	1	1	1	4	4	4	4	0	1	0	0	92
26	38	28	28	13	0	10	7	3	2	3	2	2	1	1	0	0	2	1	1	1	4	4	4	4	0	1	0	0	81
36	19	37	28	0	15	3	12	2	3	2	3	3	1	0	0	0	0	2	2	0	4	4	4	4	1	0	0	0	62
62	11	16	31	15	5	0	10	2	4	2	2	3	0	0	1	2	0	1	1	1	4	4	3	4	0	0	1	0	67
27	22	30	41	13	0	0	17	2	3	2	3	1	1	1	1	1	0	1	2	1	4	4	4	4	0	0	1	0	45
18	27	48	27	7	2	21	0	3	3	3	1	0	1	1	2	0	1	3	0	1	3	4	4	4	0	0	1	0	47
39	24	46	11	4	13	11	2	4	3	2	1	1	0	3	0	2	1	1	0	1	4	4	4	4	0	1	0	0	107
27	47	34	12	10	15	2	3	2	3	2	3	0	3	1	0	2	1	1	0	0	4	4	4	4	0	0	0	1	49
39	34	7	40	13	2	0	15	2	2	3	3	1	1	0	2	2	1	0	1	0	4	4	4	4	0	0	0	1	42
37	23	34	26	14	0	2	14	3	1	1	5	1	1	2	0	1	0	1	2	1	4	3	4	4	0	0	1	0	80
41	15	27	37	15	0	10	5	3	4	1	2	2	0	0	2	1	0	2	1	1	3	4	4	4	0	0	0	1	63
29	28	48	15	0	10	11	9	2	3	2	3	2	0	2	0	0	2	2	0	1	4	4	4	4	1	0	0	0	83
39	33	34	14	10	14	4	2	2	3	2	3	2	1	1	0	1	1	1	1	0	4	4	4	3	0	0	0	1	83
25	19	40	36	0	0	30	0	1	2	6	1	1	1	1	1	1	0	2	1	1	4	4	4	4	1	0	0	0	98
29	29	31	31	0	4	16	10	1	1	6	2	1	0	2	1	1	2	0	1	1	4	4	3	4	0	1	0	0	95
38	22	38	22	0	12	3	15	1	2	4	3	1	0	2	1	2	1	1	0	0	4	4	4	4	1	0	0	0	77
14	36	32	38	2	4	11	13	3	3	2	2	0	2	1	1	1	1	1	1	1	4	4	3	4	0	0	1	0	35
27	27	29	37	23	0	0	7	4	3	1	2	1	0	2	1	1	2	0	1	1	4	4	4	4	1	0	0	0	59
39	29	13	39	24	0	4	2	3	3	1	3	2	1	0	1	1	1	0	2	1	4	4	4	4	0	1	0	0	54
34	29	24	33	17	0	10	3	3	1	4	2	1	2	0	1	1	0	2	1	1	4	4	4	4	0	0	1	0	79
26	20	36	38	0	18	12	0	1	6	3	0	1	1	0	2	1	0	2	1	0	4	4	4	3	0	1	0	0	21
21	45	29	25	5	10	0	15	4	1	1	4	0	1	2	1	1	3	0	0	0	4	4	4	4	0	0	0	1	39
28	25	25	42	25	2	3	0	4	2	4	0	1	0	1	2	1	1	0	2	1	4	4	4	3	0	1	0	0	44
