Mode: 18 #Games: 1000 Notes: u1-Deep
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
57	24	23	16	21	3	2	4	2	1	4	3	3	1	0	0	2	1	1	0	1	4	4	4	4	0	1	0	0	90
36	36	33	15	0	14	14	2	2	3	2	3	2	0	1	1	1	2	1	0	1	4	3	4	4	0	0	1	0	70
34	33	9	44	10	2	3	15	2	2	3	3	1	1	0	2	2	1	0	1	0	4	4	4	4	0	0	0	1	39
51	31	8	30	6	3	0	21	2	5	0	3	1	2	0	1	3	0	0	1	0	4	4	3	4	0	0	0	1	48
43	21	44	12	15	12	0	3	4	3	1	2	3	0	1	0	0	1	3	0	1	4	4	4	4	0	0	1	0	93
28	34	15	43	0	4	3	23	1	2	3	4	1	2	0	1	1	0	0	3	0	4	3	4	4	1	0	0	0	11
33	44	24	19	10	17	0	3	1	5	1	3	0	2	1	1	3	1	0	0	0	4	4	4	4	0	0	0	1	7
37	25	17	41	28	0	0	2	5	1	2	2	1	1	0	2	1	1	1	1	1	3	4	4	4	0	1	0	0	79
19	17	57	27	0	2	24	4	1	3	3	3	0	0	4	0	1	0	1	2	1	4	4	4	3	1	0	0	0	117
28	15	38	39	0	10	17	3	3	2	4	1	1	0	2	1	1	1	1	1	1	4	4	4	4	0	1	0	0	83
36	20	18	46	12	0	7	11	3	4	2	1	1	0	0	3	1	2	0	1	0	3	4	4	4	0	0	1	0	65
42	19	23	36	15	0	4	11	4	2	2	2	1	1	0	2	2	0	1	1	0	4	4	4	4	1	0	0	0	60
19	5	44	52	3	0	6	21	2	2	4	2	0	0	1	3	1	0	2	1	0	4	4	4	4	0	0	1	0	62
44	21	34	21	15	0	11	4	4	1	3	2	2	0	2	0	1	1	1	1	1	4	4	4	4	0	0	0	1	89
55	15	15	35	11	4	2	13	3	1	3	3	3	0	1	0	2	0	0	2	1	3	4	4	3	0	0	0	1	67
23	39	23	35	10	3	17	0	2	3	5	0	1	1	1	1	1	2	0	1	1	4	4	4	3	0	1	0	0	72
39	31	33	17	11	6	10	3	3	3	2	2	2	1	1	0	1	1	2	0	1	4	4	4	4	0	0	1	0	80
6	26	39	49	0	4	2	24	1	3	2	4	0	1	1	2	0	0	2	2	0	4	4	4	4	1	0	0	0	22
16	23	41	40	0	15	12	3	1	4	3	2	0	1	1	2	1	0	2	1	0	4	4	4	3	0	1	0	0	38
33	26	43	18	13	6	11	0	2	4	2	2	1	0	3	0	1	2	0	1	1	4	4	4	4	1	0	0	0	94
53	34	8	25	23	0	0	7	4	1	1	4	2	2	0	0	2	1	0	1	1	3	4	4	4	0	0	0	1	67
31	9	35	45	3	0	13	14	1	2	3	4	1	0	2	1	1	0	0	3	1	3	4	4	4	0	1	0	0	89
17	36	39	28	0	4	12	14	1	1	6	2	1	0	1	2	0	2	2	0	0	4	4	3	4	0	0	1	0	93
27	47	28	18	7	0	23	0	5	2	3	0	1	2	1	0	0	2	1	1	1	4	4	4	3	0	0	0	1	78
31	31	31	27	14	13	3	0	3	3	3	1	1	1	1	1	1	1	1	1	0	3	4	4	4	0	0	1	0	57
35	38	25	22	28	2	0	0	5	2	1	2	1	1	1	1	1	2	1	0	1	4	4	4	4	0	0	0	1	84
26	33	34	27	0	3	11	16	2	2	3	3	1	0	2	1	1	2	0	1	1	4	4	3	4	0	0	0	1	79
11	44	25	40	6	24	0	0	3	4	1	2	0	2	2	0	0	1	0	3	0	3	4	4	4	1	0	0	0	36
27	25	32	36	0	15	3	12	2	4	1	3	1	1	1	1	1	1	1	1	0	4	3	4	4	1	0	0	0	54
28	37	41	14	4	12	11	3	3	3	2	2	2	1	1	0	0	2	2	0	1	4	4	4	4	0	1	0	0	85
30	29	28	33	0	15	3	12	1	3	3	3	1	1	1	1	1	0	1	2	0	4	4	3	4	1	0	0	0	65
30	30	36	24	13	11	6	0	2	3	2	3	0	1	1	2	2	1	1	0	0	4	4	4	4	0	0	1	0	55
44	21	37	18	5	11	14	0	3	3	3	1	2	1	1	0	1	1	1	1	0	4	4	4	4	0	1	0	0	83
26	23	45	26	5	21	0	4	3	4	1	2	1	1	1	1	1	1	2	0	0	4	4	4	4	1	0	0	0	45
17	35	42	26	5	10	15	0	4	2	2	2	0	1	2	1	1	1	1	1	1	4	4	4	4	0	1	0	0	60
22	39	34	25	4	14	10	2	4	3	1	2	1	2	1	0	0	1	2	1	0	4	4	4	4	0	1	0	0	48
36	17	32	35	0	13	6	11	1	4	4	1	2	0	0	2	1	1	2	0	0	4	4	4	4	0	0	0	1	73
30	37	40	13	12	4	14	0	3	3	2	2	0	1	3	0	1	2	0	1	1	4	4	4	4	1	0	0	0	80
38	29	14	39	14	10	2	4	2	3	3	2	2	1	0	1	1	1	0	2	1	4	4	4	4	0	0	1	0	51
42	32	11	35	0	17	2	11	2	4	3	1	2	0	0	2	2	2	0	0	0	4	3	4	4	0	0	1	0	75
33	51	19	17	5	21	4	0	3	2	2	3	1	1	1	1	1	3	0	0	0	3	3	4	4	0	0	1	0	64
32	36	35	17	0	0	28	2	2	1	5	2	1	1	1	1	1	2	1	0	1	4	4	4	4	0	0	0	1	75
4	40	26	50	0	9	11	10	2	4	2	2	0	1	2	1	0	1	0	3	1	4	3	4	4	0	0	0	1	25
