Mode: 5 (N=200,HP) #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
25	20	17	31	16	8	18	28	12	23	2	36	37	7	29	35	14	15	3	34	2	2	39	439	416	0	666	572	0	0	270	173	0	
28	12	0	13	24	15	29	4	21	11	31	34	32	35	19	30	16	14	5	33	3	3	69	428	255	240	0	226	0	368	259	168	0	
10	35	30	16	14	2	26	19	20	32	17	29	12	0	13	5	9	27	24	7	1	3	25	437	366	241	0	586	0	0	260	164	0	
26	27	37	29	4	3	21	34	7	22	0	1	12	25	19	31	33	24	14	35	3	0	20	889	207	0	595	0	367	267	257	170	0	
26	19	24	12	22	37	33	15	29	21	23	39	13	7	38	30	10	35	36	27	1	0	101	997	844	200	0	506	212	0	261	171	0	
27	10	14	4	37	12	35	21	15	23	24	26	25	33	19	29	34	16	7	18	2	1	60	426	356	255	0	0	207	375	187	170	0	
13	0	26	16	36	1	6	15	38	25	5	30	11	29	14	3	34	17	2	7	2	2	40	319	209	201	0	476	0	193	0	0	0	
39	12	18	38	26	0	36	11	37	27	1	25	21	5	29	24	35	16	19	7	3	1	79	411	306	242	0	505	0	0	178	169	0	
34	21	16	19	27	28	3	29	37	2	38	24	36	32	6	12	14	20	8	13	3	3	60	217	0	199	0	500	299	267	175	0	0	
5	12	29	38	9	17	11	35	13	10	36	24	4	23	25	34	31	32	15	14	2	2	60	220	0	563	429	0	210	189	0	0	0	
0	19	38	37	13	33	3	20	30	27	1	35	32	11	16	15	9	25	28	4	1	0	69	1054	319	201	0	186	0	336	275	176	0	
28	15	16	14	26	20	7	2	13	25	31	8	39	23	5	34	1	35	36	6	3	3	65	426	315	738	622	223	0	268	0	174	0	
39	19	17	0	21	27	16	11	34	33	20	29	1	32	26	38	35	18	25	7	3	1	75	215	211	0	0	568	289	188	0	172	0	
23	15	11	39	8	32	9	12	17	2	10	25	37	3	31	19	4	34	35	27	0	0	86	1003	209	0	0	480	371	187	179	0	0	
36	2	10	37	28	15	18	13	1	8	3	32	12	9	7	17	23	29	39	22	3	1	58	209	0	194	189	0	372	267	270	171	0	
30	27	32	2	38	34	9	3	28	21	16	1	8	26	18	33	35	31	24	0	3	2	87	417	355	737	701	0	483	203	0	174	0	
31	33	10	1	24	28	14	11	22	25	15	6	9	38	3	21	7	0	37	36	1	3	26	216	0	0	571	214	0	0	259	163	0	
15	26	38	31	23	20	22	5	35	29	7	2	34	11	3	25	39	19	28	4	3	2	83	0	839	315	629	506	0	0	184	171	0	
38	37	17	27	29	22	23	24	15	4	2	16	21	5	9	39	13	6	12	0	0	3	63	212	0	195	0	0	297	276	183	0	0	
27	3	10	22	25	16	20	29	18	39	15	6	32	33	23	9	37	7	31	12	1	0	72	1104	412	0	721	312	0	369	0	178	0	
9	34	26	35	36	31	27	21	16	11	32	3	33	22	7	29	5	14	2	39	2	0	67	1109	205	0	680	181	0	354	271	169	0	
2	36	35	38	20	9	30	33	10	32	19	7	23	25	27	11	39	6	14	37	0	1	32	206	0	750	600	0	375	276	253	157	0	
12	0	38	23	15	18	2	5	32	7	13	25	27	34	4	16	31	1	9	3	1	1	22	328	206	0	0	575	200	0	261	171	0	
17	5	30	9	27	10	38	32	0	34	11	6	12	26	39	20	33	24	13	1	2	2	48	0	954	205	0	556	464	194	268	176	0	
8	32	0	27	11	31	39	2	14	22	25	36	21	19	3	20	17	15	6	24	3	2	59	320	210	204	0	190	0	201	267	178	0	
23	32	0	19	28	31	1	27	20	16	10	4	12	37	35	17	8	5	2	14	1	3	89	430	0	0	0	0	477	377	0	175	0	
33	37	18	32	17	23	1	21	35	26	0	38	9	27	7	20	13	34	22	28	0	3	44	325	0	693	626	0	386	193	254	159	0	
1	34	32	2	37	20	8	26	12	6	23	19	27	4	31	17	11	18	35	22	3	0	23	1010	206	0	320	214	0	196	0	0	0	
22	34	19	21	33	23	12	17	26	20	37	35	14	7	38	0	30	9	32	15	1	0	34	641	257	442	326	307	0	198	0	176	0	
19	20	17	29	36	5	22	37	1	31	4	39	8	6	24	30	15	9	7	13	1	1	45	331	322	209	0	229	0	384	0	176	0	
25	15	39	6	22	12	20	29	36	16	4	9	0	28	38	3	14	13	26	35	2	2	79	0	924	394	329	594	471	0	0	172	0	
5	25	38	34	4	0	24	18	26	36	13	39	22	2	29	21	8	20	14	10	0	1	64	0	937	805	692	576	289	199	0	174	0	
17	14	2	0	16	36	18	25	21	6	8	13	24	11	12	35	1	39	32	23	0	3	43	224	0	831	229	0	0	372	269	168	0	
