Mode: 4 #Games: 1000
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	S_2	S_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
46	11	36	27	0	9	21	0	0	5	3	2	1	0	2	1	3	0	1	0	1	3	4	4	4	0	0	1	0	72
17	30	34	39	15	3	0	12	3	4	1	2	1	1	1	1	0	1	1	2	1	4	4	4	4	1	0	0	0	49
48	25	33	14	10	3	17	0	3	3	3	1	1	1	2	0	3	0	0	1	1	4	3	4	4	0	1	0	0	95
29	27	27	37	10	2	7	11	3	1	3	3	1	2	0	1	1	0	1	2	0	4	4	4	4	0	0	0	1	55
21	46	32	21	0	25	2	3	3	5	1	1	0	2	1	1	1	2	1	0	0	4	4	4	4	1	0	0	0	69
24	34	44	18	3	2	10	15	3	2	1	4	1	1	1	1	1	1	2	0	0	4	4	4	4	0	0	0	1	35
50	10	34	26	25	3	2	0	4	3	3	0	3	0	0	1	1	0	3	0	1	3	4	4	3	0	1	0	0	104
44	42	17	17	11	15	0	4	3	3	2	2	2	1	1	0	2	2	0	0	1	4	4	4	4	1	0	0	0	63
29	40	21	30	0	12	7	11	1	4	4	1	0	1	1	2	2	2	0	0	0	4	4	4	4	1	0	0	0	46
16	32	35	37	2	11	0	17	2	2	3	3	0	2	2	0	1	1	1	1	0	4	4	4	4	0	0	1	0	45
26	27	43	24	0	21	5	4	1	4	2	3	0	1	2	1	2	1	1	0	0	4	3	4	4	0	1	0	0	60
28	40	23	29	11	15	4	0	4	4	2	0	1	2	0	1	1	1	1	1	1	4	4	4	3	0	1	0	0	35
58	33	14	15	23	7	0	0	5	3	1	1	2	1	1	0	3	1	0	0	1	4	4	4	4	0	1	0	0	98
28	26	31	35	11	2	4	13	2	3	2	3	1	0	1	2	1	1	1	1	1	3	4	4	4	0	0	1	0	67
54	22	11	33	21	2	4	3	2	3	2	3	3	1	0	0	1	0	0	3	1	4	4	4	4	0	0	0	1	63
25	25	15	55	2	0	7	21	1	2	3	4	0	1	0	3	2	0	0	2	0	4	4	4	4	0	0	1	0	21
32	22	16	50	4	2	3	21	2	2	4	2	0	1	1	2	2	0	0	2	0	4	4	4	4	0	0	1	0	45
48	30	11	31	23	0	7	0	4	0	3	3	2	1	0	1	2	1	0	1	1	4	3	4	4	0	0	1	0	55
17	22	38	43	0	13	4	13	1	4	3	2	1	1	1	1	0	0	2	2	0	4	4	4	4	0	0	0	1	55
28	24	46	22	13	4	0	13	3	4	1	2	0	1	2	1	2	0	2	0	0	4	4	4	4	1	0	0	0	85
31	21	40	28	0	10	16	4	1	2	5	2	0	1	2	1	2	1	1	0	1	4	4	4	4	0	0	0	1	71
9	22	48	41	5	0	11	14	4	1	2	3	0	0	3	1	0	1	1	2	1	4	4	4	4	0	0	0	1	81
44	30	25	21	10	9	0	11	2	3	3	2	2	0	1	1	1	1	1	1	0	4	4	4	4	0	0	0	1	90
27	30	17	46	10	14	6	0	4	3	2	1	0	1	0	3	2	1	0	1	0	4	4	4	4	1	0	0	0	18
25	16	44	35	13	4	2	11	2	3	3	2	0	0	2	2	2	1	1	0	0	4	4	4	4	1	0	0	0	79
